🔍 Scanning for power monitoring interfaces...
   🌡️  Found thermal zone: thermal_zone0
   💻 Added CPU monitoring
📊 Logging system power data to /home/pi/system_power_log.csv
🖥️  Monitoring CPU, memory, temperature, and available power metrics
⚠️  Watching for high CPU, temperature, and system load issues
Press Ctrl+C to stop logging
✅ 2025-07-21T17:30:29.354348: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:30:34.355235: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:30:39.356102: CPU 1%, Temp 48.0°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:30:44.356954: CPU 1%, Temp 48.0°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:30:49.357827: CPU 1%, Temp 46.3°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:30:54.360974: CPU 1%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:30:59.361857: CPU 1%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:31:04.362761: CPU 1%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:31:09.363626: CPU 0%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:31:14.364491: CPU 1%, Temp 48.0°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:31:19.365365: CPU 0%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:31:24.366214: CPU 0%, Temp 47.4°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:31:29.367075: CPU 0%, Temp 47.4°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:31:34.369287: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:31:39.370157: CPU 0%, Temp 48.0°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:31:44.371035: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:31:49.371886: CPU 3%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:31:54.372780: CPU 1%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:31:59.373672: CPU 1%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:32:04.374562: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:32:09.375426: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:32:14.376323: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:32:19.377222: CPU 0%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:32:24.378082: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:32:29.378969: CPU 1%, Temp 45.8°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:32:34.379832: CPU 0%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:32:39.380687: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:32:44.381550: CPU 0%, Temp 48.5°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:32:49.382435: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:32:54.383309: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:32:59.384164: CPU 0%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:33:04.385058: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:33:09.387270: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:33:14.388139: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:33:19.389013: CPU 1%, Temp 48.0°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:33:24.389884: CPU 1%, Temp 48.5°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:33:29.394822: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:33:34.395664: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:33:39.396535: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:33:44.397403: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:33:49.398286: CPU 2%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:33:54.399157: CPU 1%, Temp 46.9°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:33:59.400026: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:34:04.400894: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:34:09.401751: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:34:14.402628: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:34:19.403489: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:34:24.404345: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:34:29.405202: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:34:34.406055: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:34:39.406938: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:34:44.407780: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:34:49.408648: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:34:54.409527: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:34:59.410424: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:35:04.411299: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:35:09.412176: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:35:14.413034: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:35:19.413922: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:35:24.414822: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:35:29.415688: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:35:34.416551: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:35:39.417424: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:35:44.418323: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:35:49.420150: CPU 2%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:35:54.422356: CPU 1%, Temp 48.0°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:35:59.423243: CPU 1%, Temp 47.4°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:36:04.424111: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:36:09.424985: CPU 1%, Temp 47.4°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:36:14.425844: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:36:19.426752: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:36:24.427621: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:36:29.428477: CPU 1%, Temp 46.3°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:36:34.429333: CPU 1%, Temp 46.9°C, Load 0.8, V:N/A, P:N/A
✅ 2025-07-21T17:36:39.434904: CPU 1%, Temp 46.9°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:36:44.435777: CPU 1%, Temp 47.4°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:36:49.436647: CPU 2%, Temp 47.4°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:36:54.437535: CPU 1%, Temp 46.3°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:36:59.438429: CPU 1%, Temp 48.5°C, Load 0.7, V:N/A, P:N/A
✅ 2025-07-21T17:37:04.439312: CPU 1%, Temp 46.3°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:09.440191: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:14.441050: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:19.446550: CPU 1%, Temp 48.0°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:24.447433: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:29.448312: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:34.449172: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:39.451424: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:44.452371: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:49.453292: CPU 2%, Temp 49.0°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:37:54.454205: CPU 2%, Temp 47.4°C, Load 1.0, V:N/A, P:N/A
✅ 2025-07-21T17:37:59.455098: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:38:04.456009: CPU 1%, Temp 48.0°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:38:09.456890: CPU 1%, Temp 47.4°C, Load 0.9, V:N/A, P:N/A
✅ 2025-07-21T17:38:14.457789: CPU 1%, Temp 46.9°C, Load 0.9, V:N/A, P:N/A
